utc,elapsed,rss_kb,footprint,threads,pcpu
2026-08-27T07:17:42Z,01-06:22:31,181488,205.3M,35,7.9
2026-08-27T07:22:47Z,01-06:27:32,183024,205.8M,37,4.1
2026-08-27T07:27:48Z,01-06:32:37,301264,206.7M,37,8.0
2026-08-27T07:32:49Z,01-06:37:38,184608,207.1M,35,5.1
2026-08-27T07:37:50Z,01-06:42:39,177184,206.0M,37,6.7
2026-08-27T07:42:52Z,01-06:47:40,299488,208.5M,36,6.1
2026-08-27T07:47:53Z,01-06:52:42,195120,207.5M,37,4.0
2026-08-27T07:52:56Z,01-06:57:43,184256,208.1M,37,5.2
2026-08-27T07:57:57Z,01-07:02:46,342000,206.0M,35,3.9
2026-08-27T08:02:58Z,01-07:07:47,195008,204.8M,37,4.2
2026-08-27T08:07:59Z,01-07:12:48,196896,204.2M,37,4.8
2026-08-27T08:13:00Z,01-07:17:49,319888,206.3M,35,4.8
2026-08-27T08:18:02Z,01-07:22:50,181296,206.7M,35,8.0
2026-08-27T08:23:04Z,01-07:27:52,178848,206.2M,35,5.0
2026-08-27T08:28:06Z,01-07:32:54,319792,209.8M,36,4.1
2026-08-27T08:33:07Z,01-07:37:56,180000,208.6M,38,4.7
2026-08-27T08:38:08Z,01-07:42:57,175712,209.2M,35,3.5
2026-08-27T08:43:11Z,01-07:47:58,293808,204.2M,37,4.1
2026-08-27T08:48:12Z,01-07:53:01,180208,205.7M,35,7.7
2026-08-27T08:53:14Z,01-07:58:02,173792,202.9M,35,4.4
2026-08-27T08:58:15Z,01-08:03:04,189136,203.3M,35,7.5
2026-08-27T09:03:16Z,01-08:08:05,187312,204.2M,35,4.7
2026-08-27T09:08:18Z,01-08:13:06,189040,203.6M,37,6.1
2026-08-27T09:13:19Z,01-08:18:08,179712,202.0M,35,7.9
2026-08-27T09:18:20Z,01-08:23:09,180656,203.2M,35,4.9
2026-08-27T09:23:23Z,01-08:28:11,175808,201.9M,35,5.8
2026-08-27T09:28:24Z,01-08:33:13,263392,201.1M,35,4.6
