callsign,site,state,freq_mhz,lat,lon,power_w,status,same
WZ2542,Santa Maria Spanish,TX,162.450,26.0814,-97.8283,300,NORMAL,048061|048215|048261|048489
WZ2543,Richlands,VA,162.425,37.0683,-81.7706,300,NORMAL,051185
WZ2544,North Cottonwood,CO,162.500,40.060274,-105.990851,300,NORMAL,008049
WZ2545,Joplin,MO,162.550,37.085,-94.5133,300,NORMAL,029097
WZ2546,Magee,MS,162.525,31.8742,-89.7319,300,NORMAL,028031|028065|028121|028127|028129
WZ2547,Edmonton,KY,162.450,37.0103,-85.6036,300,NORMAL,021001|021009|021057|021087|021169|021171
WZ2548,Eldon,MO,162.550,38.2794,-92.5853,1000,NORMAL,029015|029029|029051|029059|029085|029105|029125|029131|029135|029141|029151|029169
WZ2550,Willow Creek,CA,162.450,40.8739,-123.73351,150,NORMAL,006023
WZ2555,Duffield Peninsula,AK,162.525,57.5228,-135.4617,5,NORMAL,002220
WZ2556,Middle Cape,AK,162.525,57.3728,-154.6264,5,NORMAL,002150
WZ2557,Lihue,HI,162.450,21.987257,-159.338519,150,NORMAL,015007
WZ2559,Enterprise,OR,162.425,45.42636,-117.29603,100,NORMAL,041063
WZ2560,Cannonsburg,MI,162.550,43.0138,-85.4778,1000,NORMAL,026005|026015|026067|026081|026117|026139
WZ2561,St. Thomas,VI,162.450,18.3283,-64.8592,300,NORMAL,078030
WZ2572,Richmond,TX,162.475,29.5817,-95.7606,100,NORMAL,048157
